No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,4,Goldwork,2,Charles Bishop,Eve Johnson Houghton,5,129,10,,8.5,9.5,10,9,9,10,8.5,9.5,9,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,5,Sir Albert,2,Oisin Murphy,Andrew Balding,10,129,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,6,Spinning Lizzie,2,Kieran Shoemark,Dr Richard Newland & Jamie Insole,8,128,21,,17,21,21,21,21,21,21,21,21,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,7,Amazing Journey,2,Saffie Osborne,Jamie Osborne,4,126,6,,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,8,Champion Island,2,William Buick,Charlie Johnston,2,122,9,,7,9,8.5,9,9,8.5,9,9,9,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,9,Sovereign Bright,2,Joe Fanning,Charlie Johnston,3,120,26,,23,23,23,23,23,23,23,23,26,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,10,Steel Drum,2,Georgia Dobie,Eve Johnson Houghton,1,117,17,,17,17,17,17,17,17,15,17,17,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,11,Gascony,2,Hollie Doyle,Brian Meehan,7,115,17,,17,15,15,15,15,15,15,15,15,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,1,Aylin,2,David Egan,K R Burke,4,128,4,,3.75,4,4,4,3.25,4,4,4,4,SP
,Goodwood,16:55,Tatler British EBF Maiden Fillies' Stakes (GBB/IRE Incentive Race),Class 2,7,"£30,924",Good,Turf,,18,2,Barefoot Beach,2,Hollie Doyle,Richard Hannon,15,128,34,,34,29,29,34,34,29,29,29,34,SP
